Section_Number,Section_Name,Module_Number,Module_Name,Sub_Section_Name
1,Quantitative Methods,1,Basics of Multiple Regression and Underlying Assumptions,Introduction
1,Quantitative Methods,1,Basics of Multiple Regression and Underlying Assumptions,Uses of Multiple Linear Regression
1,Quantitative Methods,1,Basics of Multiple Regression and Underlying Assumptions,The Basics of Multiple Regression
1,Quantitative Methods,1,Basics of Multiple Regression and Underlying Assumptions,Assumptions Underlying Multiple Linear Regression
1,Quantitative Methods,1,Basics of Multiple Regression and Underlying Assumptions,Questions
1,Quantitative Methods,2,Evaluating Regression Model Fit and Interpreting Model Results,Introduction
1,Quantitative Methods,2,Evaluating Regression Model Fit and Interpreting Model Results,Goodness of Fit
1,Quantitative Methods,2,Evaluating Regression Model Fit and Interpreting Model Results,Testing Joint Hypotheses for Coefficients
1,Quantitative Methods,2,Evaluating Regression Model Fit and Interpreting Model Results,Forecasting Using Multiple Regression
1,Quantitative Methods,2,Evaluating Regression Model Fit and Interpreting Model Results,Questions
1,Quantitative Methods,3,Model Misspecification,Introduction
1,Quantitative Methods,3,Model Misspecification,Model Specification Errors
1,Quantitative Methods,3,Model Misspecification,Misspecified Functional Form
1,Quantitative Methods,3,Model Misspecification,Violations of Regression Assumptions: Heteroskedasticity
1,Quantitative Methods,3,Model Misspecification,Violations of Regression Assumptions: Serial Correlation
1,Quantitative Methods,3,Model Misspecification,Violations of Regression Assumptions: Multicollinearity
1,Quantitative Methods,3,Model Misspecification,Questions
1,Quantitative Methods,4,Extensions of Multiple Regression,Introduction
1,Quantitative Methods,4,Extensions of Multiple Regression,Influence Analysis
1,Quantitative Methods,4,Extensions of Multiple Regression,Dummy Variables in a Multiple Linear Regression
1,Quantitative Methods,4,Extensions of Multiple Regression,Multiple Linear Regression with Qualitative Dependent Variables
1,Quantitative Methods,4,Extensions of Multiple Regression,Questions
1,Quantitative Methods,5,Time-Series Analysis,Introduction
1,Quantitative Methods,5,Time-Series Analysis,Linear Trend Models
1,Quantitative Methods,5,Time-Series Analysis,Log-Linear Trend Models
1,Quantitative Methods,5,Time-Series Analysis,Trend Models and Testing for Correlated Errors
1,Quantitative Methods,5,Time-Series Analysis,AR Time-Series Models and Covariance-Stationary Series
1,Quantitative Methods,5,Time-Series Analysis,Detecting Serially Correlated Errors in an AR Model
1,Quantitative Methods,5,Time-Series Analysis,Mean Reversion and Multiperiod Forecasts
1,Quantitative Methods,5,Time-Series Analysis,Comparing Forecast Model Performance
1,Quantitative Methods,5,Time-Series Analysis,Instability of Regression Coefficients
1,Quantitative Methods,5,Time-Series Analysis,Random Walks
1,Quantitative Methods,5,Time-Series Analysis,The Unit Root Test of Nonstationarity
1,Quantitative Methods,5,Time-Series Analysis,Moving-Average Time-Series Models
1,Quantitative Methods,5,Time-Series Analysis,Seasonality in Time-Series Models
